Orig. order,type,JEPG anchor,rhyme,regularized,subordinate,orthography,phonology,set,visual 1,visual 2,visual 3,visual 4,visual 5,visual 6,visual 7,visual 8,onset 1,onset 2,onset 3,onset 4,offset 1,offset 2,offset 3,offset 4,probe 1,probe 2,probe 3,probe 4,Comments
87,ambiguous,n/a,slopes,pops,slopes,blops,/blOp/,3,blopes,blowps,bloughps,bloaps,bloapes,blopse,blowpes,bloapse,sklops,glops,dwops,skrops,blosh,bloll,blong,bloff,throps,brops,spops,smops,
31,exception,brot,wrote,slot,wrote,brot,/brOt/,1,browt,broht,brohte,browte,browtt,brohtte,broat,broate,gwot,sprot,frot,shnot,broce,brophe,broshe,brope,fot,grot,chot,prot,
41,exception,brot,wrote,slot,wrote,splot,/splOt/,2,splowt,sploht,splohte,splowte,splowtt,splohtte,sploat,sploate,skot,yot,shlot,crot,sploce,splophe,sploshe,splope,fot,grot,chot,prot,"anchor quite close to ""fault"""
51,exception,brot,wrote,slot,wrote,stot,/stOt/,3,stowt,stoht,stohte,stowte,stowtt,stohtte,stoat,stoate,sklot,vot,drot,dwot,stoce,stophe,stoshe,stope,fot,grot,chot,prot,"anchor quite close to ""stout"""
32,exception,chell,peel,bell,peel,chell,/CEl/,1,cheel,cheale,cheal,cheele,chiel,chiele,cheall,cheell,beal,skell,rell,trell,cheb,chep,ched,cheg,guell,crell,thell,prell,
42,exception,chell,peel,bell,peel,drell,/drEl/,2,dreel,dreale,dreal,dreele,driel,driele,dreall,dreell,blell,frell,strell,breal,dreb,drem,dred,dreg,guell,crell,thell,prell,
52,exception,chell,peel,bell,peel,plell,/plEl/,3,pleel,pleale,pleal,pleele,pliel,pliele,pleall,pleell,sprell,grell,threll,kreal,pleb,plem,plet,pleg,guell,crell,thell,prell,
33,exception,crill,mile,hill,mile,crill,/crIl/,1,cryel,cryele,cryle,cryl,crile,kryel,kryll,kryle,thrile,shrile,plill,gwill,crine,crive,crigg,crithe,blill,snill,thill,brill,
43,exception,crill,mile,hill,mile,dwill,/dwIl/,2,dwyel,dwyele,dwyle,dwyl,dwile,dwyell,dwyll,dwylle,grile,splill,slill,drile,dwine,dwive,dwibe,dwithe,blill,snill,thill,brill,
53,exception,crill,mile,hill,mile,clill,/klIl/,3,clyel,clyele,clyle,clyl,clile,cliil,clyll,clylle,strill,glill,shnill,frile,clith,clive,clish,clizz,blill,snill,thill,brill,
34,exception,dest,beast,test,beast,dest,/dEst/,1,deeste,deast,diest,deased,deesed,dieced,deaced,deaste,jeast,strest,blest,reast,dess,dekt,deshed,desp,clest,mest,stest,shest,
44,exception,dest,beast,test,beast,trest,/trEst/,2,treeste,treast,triest,treased,treesed,trieced,treaced,treaste,frest,hest,drest,brest,treft,trekt,treshed,tresp,clest,mest,stest,shest,
54,exception,dest,beast,test,beast,glest,/glEst/,3,gleeste,gleast,gliest,gleased,gleesed,glieced,gleaced,gleaste,thest,plest,splest,spest,gleft,glekt,gleshed,glesp,clest,mest,stest,shest,
35,exception,drace,draw,face,draw,drace,/dro/,1,dross,drosse,drauss,drausse,drauce,droce,drawce,draus,ploss,blace,clace,slace,drosh,drof,drock,drotch,frace,krace,prace,snace,
